wikiSchool,status,candidateIds,candidateNames,confirmedTeamId
St. Norbert College,suggested,2832,St. Norbert,2832
"Saint Paul's College, Virginia",unmatched,,,NEW
St. Thomas University (Florida),suggested,2900,St. Thomas (MN),NEW
University of St. Thomas (Minnesota),suggested,2900,St. Thomas (MN),2900
University of South Alabama,suggested,6,South Alabama,6
University of South Carolina,suggested,2579,South Carolina,2579
South Carolina State University,suggested,2569,South Carolina State,2569
University of South Dakota,suggested,233,South Dakota,233
South Dakota State University,suggested,2571,South Dakota State,2571
University of South Florida,suggested,58,South Florida,58
Southeast Missouri State University,suggested,2546,Southeast Missouri State,2546
Southeastern Louisiana University,unmatched,,,2545
Southeastern Oklahoma State University,suggested,199,Southeastern Oklahoma State,199
Southern Connecticut State University,suggested,2583,Southern Connecticut State,2583
Southern University,suggested,2582,Southern,2582
University of Southern Arkansas,suggested,2568,Southern Arkansas,2568
University of Southern California,unmatched,,,30
Southern Illinois University Carbondale,unmatched,,,NEW
Southern Methodist University,suggested,2567,SMU,2567
Southern Nazarene University,suggested,200,Southern Nazarene,200
University of Southern Mississippi,suggested,2572,Southern Miss,2572
University of Southern Arkansas,suggested,2568,Southern Arkansas,2568
Southern Oregon University,unmatched,,,NEW
Southern Utah University,suggested,253,Southern Utah,253
Southwest Minnesota State University,suggested,2587,Southwest Minnesota State,2587
Southwestern Oklahoma State University,suggested,2927,Southwestern Oklahoma State,2927
Stanford University,suggested,24,Stanford,24
Stephen F. Austin State University,unmatched,,,2617
Stetson University,suggested,56,Stetson,56
Stillman College,unmatched,,,NEW
Stonehill College,suggested,284,Stonehill,284
Stony Brook University,suggested,2619,Stony Brook,2619
Syracuse University,suggested,183,Syracuse,183
Tabor College (Kansas),unmatched,,,NEW
University of Tampa,unmatched,,,NEW
Tarkio College,unmatched,,,NEW
Tarleton State University,suggested,2627,Tarleton State,2627
Temple University,suggested,218,Temple,218
University of Tennessee at Chattanooga,unmatched,,,236
University of Tennessee,suggested,2633,Tennessee,2633
University of Tennessee at Martin,suggested,2630,UT Martin,2630
Tennessee State University,suggested,2634,Tennessee State,2634
Tennessee Technological University,unmatched,,,2635
University of Texas at Austin,unmatched,,,251
Texas A&M University,suggested,245,Texas A&M,245
Texas A&M University–Kingsville,suggested,2658,Texas A&M-Kingsville,2658
Texas Christian University,suggested,2628,TCU,2628
Texas Southern University,suggested,2640,Texas Southern,2640
Texas Tech University,suggested,2641,Texas Tech,2641
Texas State University,suggested,326,Texas State,326
University of Texas at El Paso,suggested,2638,UTEP,2638
Thomas University,unmatched,,,NEW
Thomas More University,suggested,2646,Thomas More College,2646
University of Toledo,suggested,2649,Toledo,2649
Towson University,suggested,119,Towson,119
Trinity College (Connecticut),suggested,2977,Trinity (CT),2977
Trinity International University,unmatched,,,NEW
Trinity University (Texas),suggested,2977,Trinity (CT),386
Trinity Valley Community College,unmatched,,,NEW
Troy University,suggested,2653,Troy,2653
Truman State University,suggested,2654,Truman State,2654
Tulane University,suggested,2655,Tulane,2655
University of Tulsa,suggested,202,Tulsa,202
Tusculum University,suggested,2839,Greeneville,2839
Tuskegee University,suggested,2657,Tuskegee,2657
University of Utah,suggested,254,Utah,254
Utah State University,suggested,328,Utah State,328
Utah Tech University,suggested,3101,Utah Tech,3101
University of Texas at Arlington,unmatched,,,NEW
University of Texas Rio Grande Valley,suggested,1000004,Texas-Rio Grande Valley,1000004
University of Texas at San Antonio,suggested,2636,Texas-San Antonio,2636
Valdosta State University,suggested,2673,Valdosta State,2673
Villanova University,suggested,222,Villanova,222
Vanderbilt University,suggested,238,Vanderbilt,238
University of Virginia,suggested,258,Virginia,258
Virginia State University,unmatched,,,330
Virginia Union University,suggested,2676,Virginia Union,2676
Virginia University of Lynchburg,unmatched,,,NEW
Wagner College,suggested,2681,Wagner,2681
Wake Forest University,suggested,154,Wake Forest,154
Walsh University,suggested,2682,Walsh,2682
Washburn University,suggested,2687,Washburn,2687
University of Washington,ambiguous,143; 264,Washington University (St. Louis); Washington,264
Washington State University,suggested,265,Washington State,265
Washington University in St. Louis,unmatched,,,143
Wayne State College,ambiguous,131; 2844,Wayne State (MI); Wayne State (NE),2844
Wayne State University,ambiguous,131; 2844,Wayne State (MI); Wayne State (NE),131
Waynesburg University,suggested,2845,Waynesburg,2845
Weber State University,suggested,2692,Weber State,2692
